year,district,name,party,vote_count,vote_percent
2014,Plymouth,Thomas J. O'Brien,Democratic,"121,043",98.2
2014,Bristol,Christopher T. Saunders,Democratic,"98,599",99.0
2014,Dukes,Noreen Mavro Flanders,Unenrolled,"4,948",99.4
2014,Norfolk,Joseph A. Connolly,Democratic,"167,554",98.9
2012,Bristol,Christopher T. Saunders,Democratic,"170,858",99.5
