year,district,name,party,vote_count,vote_percent
2014,Plymouth,Matthew J. Mcdonough,Democratic,"83,932",51.0
2014,Middlesex,Tara Decristofaro,Democratic,"297,953",64.0
2014,Bristol,Gina L. Derossi,Democratic,"99,307",99.0
2014,Berkshire,Francis B. Marinaro,Democratic,"31,136",99.7
2014,Hampden,Suzanne T. Seguin,Unenrolled,"62,579",50.0
2014,Essex,Pamela Casey O'Brien,Democratic,"137,735",58.9
2014,Hampshire,Michael J. Carey,Democratic,"42,253",99.4
2014,Dukes,Elizabeth J. Herrmann,Republican,"4,578",98.8
2014,Worcester,Stephanie K. Fattman,Republican,"125,166",52.0
2014,Franklin,John F. Merrigan,Democratic,"21,338",99.6
2014,Norfolk,Patrick W. McDermott,Democratic,"167,072",98.9
2014,Barnstable,Anastasia Welsh Perrino,Republican,"68,234",99.5
2014,Suffolk,Felix D. Arroyo,Democratic,"136,821",98.4
2014,Nantucket,Susan D. Beamish,Democratic,"3,032",99.2
2012,Hampshire,Michael J. Carey,Democratic,"61,921",99.5
2012,Suffolk,Patricia Patty Campatelli,Democratic,"200,064",98.3
