year,district,name,party,vote_count,vote_percent
2014,Plymouth,Sandra M. Wright,Republican,"90,926",56.7
2014,Bristol,John Thomas Saunders,Democratic,"96,745",98.5
2014,Norfolk,Peter H. Collins,Democratic,"132,803",60.4
2014,Barnstable,Leo G. Cakounes,Republican,"46,108",50.3
2010,Plymouth,Sandra M. Wright,Republican,"87,413",50.4
2010,Bristol,Maria F. Lopes,Democratic,"117,343",98.4
2010,Norfolk,Peter H. Collins,Democratic,"170,410",98.5
2010,Barnstable,William Doherty,Republican,"75,950",99.5
