year,district,name,party,vote_count,vote_percent
2016,Franklin,Jay D. Dipucchio,Democratic,"29,130",99.8
2016,Sunderland,Jay D. Dipucchio,Democratic,"1,431",99.8
2014,Franklin,Bill Perlman,Democratic,"19,783",99.6
2012,Franklin,John P. Paciorek,Unenrolled,"28,132",99.6
2010,Franklin,Bill Perlman,Democratic,"20,250",99.5
